order_id,order_name,order_created_at,line_item_id,line_item_name,sku,quantity,unit_price,currency,variant_id,variant_title,product_id,product_title
gid://shopify/Order/6304523321518,#5506,2025-12-19T14:24:08Z,gid://shopify/LineItem/14976082608302,Caneta Crown Personalizada Metal Cristal Esferográfica - Cinza,DI10044C,1,99.9,BRL,gid://shopify/ProductVariant/47090344657070,Cinza,gid://shopify/Product/8894502076590,Caneta Crown Personalizada Metal Cristal Esferográfica
gid://shopify/Order/6304490750126,#5505,2025-12-19T13:53:46Z,gid://shopify/LineItem/14976011894958,Caneta Crown Personalizada Metal Master Gold Esferográfica - Bordo,DI19968D,1,209.9,BRL,gid://shopify/ProductVariant/47090347114670,Bordo,gid://shopify/Product/8894502961326,Caneta Crown Personalizada Metal Master Gold Esferográfica
gid://shopify/Order/6304480493742,#5504,2025-12-19T13:42:42Z,gid://shopify/LineItem/14975993675950,Caneta Crown Personalizada Metal Treasure Esferográfica - Preta,DI19966P,1,109.9,BRL,gid://shopify/ProductVariant/47090349801646,Preta,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6304474759342,#5503,2025-12-19T13:36:33Z,gid://shopify/LineItem/14975983419566,Caneta Crown Personalizada Metal Treasure Esferográfica - Prata,DI19966S,1,109.9,BRL,gid://shopify/ProductVariant/47090349834414,Prata,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6304474759342,#5503,2025-12-19T13:36:33Z,gid://shopify/LineItem/14975983452334,Caneta Crown Personalizada Metal Treasure Esferográfica - Preta,DI19966P,1,109.9,BRL,gid://shopify/ProductVariant/47090349801646,Preta,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6304471744686,#5502,2025-12-19T13:32:46Z,gid://shopify/LineItem/14975977783470,Carteira Crown Tucson Preta,WL11241P,1,199.9,BRL,gid://shopify/ProductVariant/47090353766574,Default Title,gid://shopify/Product/8894505713838,Carteira Crown Tucson Preta
gid://shopify/Order/6304469254318,#5501,2025-12-19T13:30:07Z,gid://shopify/LineItem/14975972868270,Caneta Crown Personalizada Metal Capricci Esferográfica - Preta,DI12601P,1,134.9,BRL,gid://shopify/ProductVariant/47090343411886,Preta,gid://shopify/Product/8894501912750,Caneta Crown Personalizada Metal Capricci Esferográfica
gid://shopify/Order/6304456179886,#5500,2025-12-19T13:15:11Z,gid://shopify/LineItem/14975946162350,Caneta Crown Personalizada Metal Treasure Esferográfica - Preta,DI19966P,1,109.9,BRL,gid://shopify/ProductVariant/47090349801646,Preta,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6304428130478,#5499,2025-12-19T12:40:51Z,gid://shopify/LineItem/14975893635246,CARGA CARTUCHO TINTEIRO CROWN TINTEIRO | CA32005 - Preto,CA32005P,1,17.9,BRL,gid://shopify/ProductVariant/47122527551662,Preto,gid://shopify/Product/8901020057774,CARGA CARTUCHO TINTEIRO CROWN TINTEIRO | CA32005
gid://shopify/Order/6304428130478,#5499,2025-12-19T12:40:51Z,gid://shopify/LineItem/14975893668014,CARGA CARTUCHO TINTEIRO CROWN TINTEIRO | CA32005 - Azul,CA32005A,1,17.9,BRL,gid://shopify/ProductVariant/47122527518894,Azul,gid://shopify/Product/8901020057774,CARGA CARTUCHO TINTEIRO CROWN TINTEIRO | CA32005
gid://shopify/Order/6304424460462,#5498,2025-12-19T12:36:28Z,gid://shopify/LineItem/14975885770926,Caneta Crown Personalizada Metal Treasure Esferográfica - Prata,DI19966S,1,109.9,BRL,gid://shopify/ProductVariant/47090349834414,Prata,gid://shopify/Product/8894504009902,Caneta Crown Personalizada Metal Treasure Esferográfica
gid://shopify/Order/6304416301230,#5497,2025-12-19T12:26:00Z,gid://shopify/LineItem/14975870566574,Caneta Crown Personalizada Metal Capricci Esferográfica - Azul,DI12601A,1,134.9,BRL,gid://shopify/ProductVariant/47090343248046,Azul,gid://shopify/Product/8894501912750,Caneta Crown Personalizada Metal Capricci Esferográfica
gid://shopify/Order/6304405258414,#5496,2025-12-19T12:09:47Z,gid://shopify/LineItem/14975851004078,Caneta Crown Personalizada Diamond - Dourada,DI11004O,1,122.9,BRL,gid://shopify/ProductVariant/47090342854830,Dourada,gid://shopify/Product/8894501716142,Caneta Crown Personalizada Diamond
gid://shopify/Order/6304402210990,#5495,2025-12-19T12:05:23Z,gid://shopify/LineItem/14975845400750,Caneta Crown Personalizada Metal Capricci Esferográfica - Preta,DI12601P,1,134.9,BRL,gid://shopify/ProductVariant/47090343411886,Preta,gid://shopify/Product/8894501912750,Caneta Crown Personalizada Metal Capricci Esferográfica
